,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
12,0.193,0.276,404507,0.12,0,3yHvxIDMCymCF0q0OruuDJ,0.515,0,0.0934,-23.166,1,I Cover The Waterfront,35,1991-01-01,0.0424,174.483,0.10099999999999999,1991,1990s,C,Major,C Major,0.17377405487493186,0.07398480880973446,0.5768381489311722,0.7148276667308504,0.35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,John Lee Hooker,Fat Possum
13,0.7390000000000001,0.586,200840,0.207,0,68NHacBpJZ0NQ1NFmDBMC1,0.000304,10,0.096,-14.364,1,Ramblin' By Myself - Single Version,17,1959-01-01,0.0777,85.492,0.616,1959,1950s,Bb,Major,Bb Major,0.31844915244769356,0.03625746333352598,0.7146817007282124,0.35024642448922744,0.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
14,0.897,0.54,164973,0.38,0,49EwkAlFaEWHycQaSgjPXB,0.0010199999999999999,3,0.109,-17.016,1,Leave My Wife Alone - Single Version,16,1959-01-01,0.0407,106.304,0.741,1959,1950s,Eb,Major,Eb Major,0.1668066989011728,0.029613447856324623,0.6731501057082453,0.4355097074451742,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
15,0.895,0.73,164933,0.102,0,1zLunDGKySWa7Gwsif5Ckc,0.000993,11,0.0809,-17.232,1,No More Doggin',16,1960-01-01,0.0702,136.108,0.27699999999999997,1960,1960s,B,Major,B Major,0.2877108172693447,0.029606038242498876,0.6697674418604651,0.5576117103867001,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
16,0.799,0.597,123800,0.488,0,2IV2NdDBpCUhKmmIT841Po,0.265,11,0.14800000000000002,-13.547,0,Think Twice Before You Go,28,1967-03-22,0.0623,158.361,0.968,1967,1960s,B,Minor,B Minor,0.25533310421481736,0.021986547105137973,0.7274763135228253,0.6487785293189835,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
17,0.493,0.466,259080,0.72,0,6MBlp2Gs9Q9aGWqDDJiNkt,0.00477,2,0.325,-10.055,1,Boom Boom,41,1992-01-01,0.142,175.53400000000005,0.6709999999999999,1992,1990s,D,Major,D Major,0.5819791460434038,0.047045861063813074,0.7821627123952706,0.7191334379391295,0.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,John Lee Hooker,Fat Possum
18,0.795,0.5760000000000001,178333,0.225,0,7ehzmAVCdkvxcK6VxRuh74,0.000375,10,0.12,-14.571,1,Union Station Blues - Single Version,15,1959-01-01,0.122,86.381,0.6679999999999999,1959,1950s,Bb,Major,Bb Major,0.5000102522344738,0.032088258874124,0.7114399812074231,0.35388850879385153,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
19,0.991,0.5670000000000001,179507,0.22899999999999998,0,4bdn6rwcUmYGQzlPBOypNm,0.0174,0,0.23,-17.66,1,It's My Own Fault - Single Version,15,1959-01-01,0.0533,83.166,0.5529999999999999,1959,1950s,C,Major,C Major,0.21844710200079878,0.03230573103990966,0.663064756088012,0.34071719153922103,0.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
20,0.775,0.57,131191,0.614,0,1ryHiEkl7RvjVKSHdQikgm,0.0,10,0.0734,-13.892000000000001,0,Run On,15,1960-01-01,0.0498,159.077,0.8740000000000001,1960,1960s,Bb,Minor,Bb Minor,0.20410254558423602,0.023355658499790308,0.7220734476548429,0.6517118615598282,0.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
21,0.884,0.5489999999999999,328200,0.5760000000000001,0,0vvPcj65VlYiG0P4464lvQ,0.0151,11,0.14800000000000002,-14.035,1,Burning Hell,31,1971-01-01,0.2439949970121604,92.473,0.622,1971,1970s,B,Major,B Major,1.0,0.05984967375470325,0.7198339989037664,0.37884641383746226,0.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Lee Hooker,Fat Possum
22,0.804,0.561,186107,0.419,0,1Ja3Mg64dR9IkIAEcnvFd4,2.49e-05,10,0.182,-12.628,1,Louise - Single Version,14,1959-01-01,0.0553,84.398,0.718,1959,1950s,Bb,Major,Bb Major,0.2266439913816918,0.03352831732115786,0.7418682953566674,0.3457644894731883,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
23,0.7609999999999999,0.732,176000,0.349,0,23TUGA7oaOeZQVkmLYLeeW,2.6899999999999997e-05,10,0.141,-15.793,1,Down At The Landing,13,1959-01-01,0.0452,96.32700000000001,0.946,1959,1950s,Bb,Major,Bb Major,0.18524970000818208,0.031656093147737326,0.6923028736982226,0.3946356072120644,0.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,John Lee Hooker,Fat Possum
24,0.862,0.741,316067,0.0527,0,58GtPyXz1kYE7LEGJrhEEW,0.00412,2,0.11199999999999999,-21.50800000000001,1,I'm Wanderin',14,1960-01-01,0.0396,97.98,0.368,1960,1960s,D,Major,D Major,0.16229840974168167,0.05760215264100865,0.6028032260590399,0.4014076717289864,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
25,0.649,0.616,175106,0.642,0,4m5NBj2M2ooeXS9I96Z0cP,0.00251,2,0.133,-10.988,1,I'm Going Upstairs,14,1961-01-01,0.0368,143.141,0.696,1961,1960s,D,Major,D Major,0.15082276460843144,0.03149048827873189,0.7675514838305536,0.5864247350373426,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
26,0.58,0.6990000000000001,233267,0.48100000000000004,0,2PoCFAeqx7VDDwljQpxjts,3.29e-06,2,0.184,-15.154000000000002,0,"You Know, I Know",23,1966-01-01,0.054000000000000006,117.95700000000001,0.892,1966,1960s,D,Minor,D Minor,0.22131601328411138,0.04226425202171313,0.702309920914572,0.48325009934819396,0.23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
27,0.632,0.41700000000000004,693240,0.718,0,0WatYyA7vSnaA7ShN4rx75,0.059000000000000004,2,0.147,-10.834000000000001,1,Boogie Chillen No. 2,29,1971-01-01,0.136,153.092,0.535,1971,1970s,D,Major,D Major,0.5573884779007249,0.12746980952846698,0.7699631978701746,0.6271923176192487,0.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Lee Hooker,Fat Possum
28,0.8759999999999999,0.557,272773,0.21899999999999997,0,5GPTI1Iw5ZSZbOVgysIOVe,0.00265,2,0.141,-16.623,1,The Feelin' Is Gone,30,1971-01-01,0.2439949970121604,93.37100000000001,0.526,1971,1970s,D,Major,D Major,1.0,0.049582357116711794,0.6793046746535119,0.3825253696367339,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Lee Hooker,Fat Possum
29,0.649,0.805,174482,0.18100000000000002,0,2uz1fGj0mgXFSu511jgQOG,8.669999999999999e-05,10,0.0935,-16.437,1,Canal Street Blues,11,1960-01-01,0.0681,66.19,0.5379999999999999,1960,1960s,Bb,Major,Bb Major,0.27910408341940707,0.03137489830305024,0.6822175240779893,0.2711693589685814,0.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
