,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Major,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
11,0.973,0.55,137535,0.201,0,5drF5PlhF2AIsNFjA8lcQV,0.107,6,0.11,-12.82,0,Mr Tom Hughes' Town (236-B-3),1,1935-01-01,0.0461,81.86399999999998,0.9179999999999999,1935,1930s,F#,Minor,F# Minor,0.18893830022958397,0.024530823252553725,0.7388614830475296,0.33538311531355103,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
12,0.935,0.669,172931,0.303,0,2gclEwzZZMVAOKXFRbkzfZ,0.0,4,0.233,-10.52,0,Frankie And Albert - First Half,2,1940-01-01,0.0608,108.43,0.6990000000000001,1940,1940s,E,Minor,E Minor,0.2491854371791476,0.031087590526956917,0.7748805888340773,0.4442195738474586,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
13,0.9490000000000001,0.535,188918,0.23399999999999999,0,2hEqNtcWnnLAqPyZSZk6rA,0.00324,11,0.081,-12.51,1,Red Cross Store Blues,2,1940-01-01,0.0557,69.101,0.7090000000000001,1940,1940s,B,Major,B Major,0.2282833692578704,0.0340490279327622,0.7437162320883252,0.28309523907067446,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
14,0.968,0.659,180976,0.239,0,2hi94KGBGLDU2Jm4T7q7VR,0.00196,9,0.321,-13.491,1,Roberta,1,1940-01-01,0.0554,119.32799999999999,0.491,1940,1940s,A,Major,A Major,0.22705383585073644,0.032577849107660206,0.7283533004463237,0.4888668570328279,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
15,0.983,0.531,171520,0.305,0,5PSd1WItTNDklljUE8GCuV,0.364,11,0.125,-12.190999999999999,1,Easy Rider,0,1947-01-01,0.0475,141.27700000000004,0.6509999999999999,1947,1940s,B,Major,B Major,0.19467612279620905,0.030826216399253703,0.7487119254561115,0.5787882388125742,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
16,0.897,0.609,173558,0.3670000000000001,0,5VEnWUXg5YyygAq0UK1M3Z,0.000828,11,0.131,-10.97,1,Keep Your Hands Off Her,1,1947-01-01,0.0674,87.166,0.898,1947,1940s,B,Major,B Major,0.27623517213609455,0.031203736223675494,0.7678333724845353,0.35710452249366015,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
17,0.987,0.6729999999999999,202867,0.292,0,5ft4g9pXDbSGTBUfOM3Q47,0.00040599999999999995,9,0.154,-8.502,1,Meeting At The Building / Talking Preaching / We Shall Walk Through The Valley,0,1947-01-01,0.2439949970121604,117.395,0.805,1947,1940s,A,Major,A Major,1.0,0.03663294551414569,0.8064834390415786,0.4809476793490952,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
18,0.985,0.6679999999999999,245864,0.298,0,602BKDZXuTwQmZklC52FeX,0.000611,4,0.201,-10.033,1,Noted Rider / Big Fat Woman / Borrow Love And Go,0,1947-01-01,0.0949,136.429,0.326,1947,1940s,E,Major,E Major,0.38894240112337347,0.04459772465578639,0.7825072429723593,0.5589267936957938,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
19,0.9209999999999999,0.616,195400,0.426,0,28R4tj7vpWL21IqWFZY4Gx,0.0045899999999999995,4,0.684,-8.998,0,What Can I Do To Change Your Mind,0,1949-01-01,0.2439949970121604,72.07,0.57,1949,1940s,E,Minor,E Minor,1.0,0.03524975585322444,0.7987158405763057,0.2952587354716069,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
20,0.9329999999999999,0.542,153360,0.0473,0,1aNnFMXp9MELehZajf0Q0v,0.0,5,0.124,-23.339000000000002,0,Old Man,0,1951-01-01,0.2439949970121604,211.308,0.564,1951,1950s,F,Minor,F Minor,1.0,0.027462251722364734,0.5741288857567928,0.8656935323301556,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lead Belly,Third Man
